Experiment,Seed,Sequence F1,Frame F1,Epochs,Test Sequences,Test Frames
1,42,0.5074701127332706,0.5553643268039673,61,50,1458
2,123,0.5665445665445665,0.5928985900554755,43,50,1458
3,456,0.6646655099286677,0.6766056739526913,43,50,1458
4,789,0.50997150997151,0.5258730785201583,52,50,1458
5,1024,0.5054334554334555,0.5092165698362626,31,50,1458
6,2048,0.5779585798816568,0.5673477157051358,29,50,1458
7,3141,0.5955979917518379,0.6176452816353261,44,50,1458
8,5926,0.6499013806706114,0.6669720804162201,33,50,1458
9,7777,0.5338264299802762,0.5610447326271514,30,50,1458
10,9999,0.559065934065934,0.5683431488214662,33,50,1458
