feature,gain,weight,cover,beacon_id,stat_type
beacon_1_mean,0,0,0,1,mean
beacon_1_std,0,0,0,1,std
beacon_1_min,0,0,0,1,min
beacon_1_max,0,0,0,1,max
beacon_1_count,0,0,0,1,count
beacon_2_mean,0,0,0,2,mean
beacon_2_std,0,0,0,2,std
beacon_2_min,0,0,0,2,min
beacon_2_max,0,0,0,2,max
beacon_2_count,0,0,0,2,count
beacon_3_mean,0,0,0,3,mean
beacon_3_std,0,0,0,3,std
beacon_3_min,0,0,0,3,min
beacon_3_max,0,0,0,3,max
beacon_3_count,0,0,0,3,count
beacon_4_mean,0,0,0,4,mean
beacon_4_std,0,0,0,4,std
beacon_4_min,0,0,0,4,min
beacon_4_max,0,0,0,4,max
beacon_4_count,0,0,0,4,count
beacon_5_mean,0,0,0,5,mean
beacon_5_std,0,0,0,5,std
beacon_5_min,0,0,0,5,min
beacon_5_max,0,0,0,5,max
beacon_5_count,0,0,0,5,count
beacon_6_mean,0,0,0,6,mean
beacon_6_std,0,0,0,6,std
beacon_6_min,0,0,0,6,min
beacon_6_max,0,0,0,6,max
beacon_6_count,0,0,0,6,count
beacon_7_mean,0,0,0,7,mean
beacon_7_std,0,0,0,7,std
beacon_7_min,0,0,0,7,min
beacon_7_max,0,0,0,7,max
beacon_7_count,0,0,0,7,count
beacon_8_mean,0,0,0,8,mean
beacon_8_std,0,0,0,8,std
beacon_8_min,0,0,0,8,min
beacon_8_max,0,0,0,8,max
beacon_8_count,0,0,0,8,count
beacon_9_mean,0,0,0,9,mean
beacon_9_std,0,0,0,9,std
beacon_9_min,0,0,0,9,min
beacon_9_max,0,0,0,9,max
beacon_9_count,0,0,0,9,count
beacon_10_mean,0,0,0,10,mean
beacon_10_std,0,0,0,10,std
beacon_10_min,0,0,0,10,min
beacon_10_max,0,0,0,10,max
beacon_10_count,0,0,0,10,count
beacon_11_mean,0,0,0,11,mean
beacon_11_std,0,0,0,11,std
beacon_11_min,0,0,0,11,min
beacon_11_max,0,0,0,11,max
beacon_11_count,0,0,0,11,count
beacon_12_mean,0,0,0,12,mean
beacon_12_std,0,0,0,12,std
beacon_12_min,0,0,0,12,min
beacon_12_max,0,0,0,12,max
beacon_12_count,0,0,0,12,count
beacon_13_mean,0,0,0,13,mean
beacon_13_std,0,0,0,13,std
beacon_13_min,0,0,0,13,min
beacon_13_max,0,0,0,13,max
beacon_13_count,0,0,0,13,count
beacon_14_mean,0,0,0,14,mean
beacon_14_std,0,0,0,14,std
beacon_14_min,0,0,0,14,min
beacon_14_max,0,0,0,14,max
beacon_14_count,0,0,0,14,count
beacon_15_mean,0,0,0,15,mean
beacon_15_std,0,0,0,15,std
beacon_15_min,0,0,0,15,min
beacon_15_max,0,0,0,15,max
beacon_15_count,0,0,0,15,count
beacon_16_mean,0,0,0,16,mean
beacon_16_std,0,0,0,16,std
beacon_16_min,0,0,0,16,min
beacon_16_max,0,0,0,16,max
beacon_16_count,0,0,0,16,count
beacon_17_mean,0,0,0,17,mean
beacon_17_std,0,0,0,17,std
beacon_17_min,0,0,0,17,min
beacon_17_max,0,0,0,17,max
beacon_17_count,0,0,0,17,count
beacon_18_mean,0,0,0,18,mean
beacon_18_std,0,0,0,18,std
beacon_18_min,0,0,0,18,min
beacon_18_max,0,0,0,18,max
beacon_18_count,0,0,0,18,count
beacon_19_mean,0,0,0,19,mean
beacon_19_std,0,0,0,19,std
beacon_19_min,0,0,0,19,min
beacon_19_max,0,0,0,19,max
beacon_19_count,0,0,0,19,count
beacon_20_mean,0,0,0,20,mean
beacon_20_std,0,0,0,20,std
beacon_20_min,0,0,0,20,min
beacon_20_max,0,0,0,20,max
beacon_20_count,0,0,0,20,count
beacon_21_mean,0,0,0,21,mean
beacon_21_std,0,0,0,21,std
beacon_21_min,0,0,0,21,min
beacon_21_max,0,0,0,21,max
beacon_21_count,0,0,0,21,count
beacon_22_mean,0,0,0,22,mean
beacon_22_std,0,0,0,22,std
beacon_22_min,0,0,0,22,min
beacon_22_max,0,0,0,22,max
beacon_22_count,0,0,0,22,count
beacon_23_mean,0,0,0,23,mean
beacon_23_std,0,0,0,23,std
beacon_23_min,0,0,0,23,min
beacon_23_max,0,0,0,23,max
beacon_23_count,0,0,0,23,count
beacon_24_mean,0,0,0,24,mean
beacon_24_std,0,0,0,24,std
beacon_24_min,0,0,0,24,min
beacon_24_max,0,0,0,24,max
beacon_24_count,0,0,0,24,count
beacon_25_mean,0,0,0,25,mean
beacon_25_std,0,0,0,25,std
beacon_25_min,0,0,0,25,min
beacon_25_max,0,0,0,25,max
beacon_25_count,0,0,0,25,count
